Date,Price,Open,High,Low,Vol.,Change %
11/30/2021,6721.16,6679.03,6780.88,6655.86,182.69M,-0.81%
11/29/2021,6776.25,6831.41,6841.79,6760.31,108.06M,0.54%
11/26/2021,6739.73,6814.90,6861.15,6725.08,159.61M,-4.75%
11/25/2021,7075.87,7067.61,7079.49,7047.86,57.49M,0.48%
11/24/2021,7042.23,7052.18,7089.11,6983.98,75.26M,-0.03%
11/23/2021,7044.62,7064.38,7112.49,7002.56,73.75M,-0.85%
11/22/2021,7105.00,7130.24,7143.60,7087.67,85.21M,-0.10%
11/19/2021,7112.29,7172.72,7183.08,7068.43,117.99M,-0.42%
11/18/2021,7141.98,7155.05,7181.55,7136.86,75.85M,-0.21%
11/17/2021,7156.85,7149.30,7167.80,7147.01,68.24M,0.06%
11/16/2021,7152.60,7146.37,7164.27,7136.30,69.02M,0.34%
11/15/2021,7128.63,7090.96,7136.13,7088.71,64.26M,0.53%
11/12/2021,7091.40,7062.54,7097.46,7056.93,64.25M,0.45%
11/11/2021,7059.55,7038.84,7072.63,7032.35,74.34M,0.20%
11/10/2021,7045.16,7046.17,7053.27,7014.94,85.63M,0.03%
11/09/2021,7043.27,7023.58,7079.58,7016.73,71.28M,-0.06%
11/08/2021,7047.48,7041.60,7067.10,7037.67,66.51M,0.10%
11/05/2021,7040.79,6983.80,7063.40,6983.80,79.99M,0.76%
11/04/2021,6987.79,6977.62,6993.01,6962.01,76.56M,0.53%
11/03/2021,6950.65,6919.47,6955.10,6917.75,65.52M,0.34%
11/02/2021,6927.03,6883.06,6933.35,6879.69,64.19M,0.49%
11/01/2021,6893.29,6870.28,6908.65,6859.44,67.29M,0.92%
10/29/2021,6830.34,6778.79,6830.34,6748.53,89.55M,0.38%
10/28/2021,6804.22,6750.78,6804.22,6750.78,75.98M,0.75%
10/27/2021,6753.52,6755.63,6771.19,6731.86,68.74M,-0.19%
10/26/2021,6766.51,6723.06,6775.82,6711.21,79.34M,0.80%
10/25/2021,6712.87,6752.98,6752.98,6707.32,58.59M,-0.31%
10/22/2021,6733.69,6720.92,6765.46,6716.15,65.95M,0.71%
10/21/2021,6686.17,6673.14,6699.21,6658.95,63.93M,-0.29%
10/20/2021,6705.61,6636.61,6715.52,6636.61,65.96M,0.54%
10/19/2021,6669.85,6690.95,6692.14,6650.84,63.60M,-0.05%
10/18/2021,6673.10,6697.29,6697.60,6642.16,64.53M,-0.81%
10/15/2021,6727.52,6714.26,6746.81,6703.26,84.11M,0.63%
