Date,Price,Open,High,Low,Vol.,Change %
09/30/2021,15260.69,15434.33,15448.52,15246.00,74.66M,-0.68%
09/29/2021,15365.27,15357.00,15422.75,15301.35,56.30M,0.77%
09/28/2021,15248.56,15542.03,15542.41,15232.97,75.18M,-2.09%
09/27/2021,15573.88,15699.01,15704.05,15552.09,59.04M,0.27%
09/24/2021,15531.75,15562.14,15573.46,15497.17,49.97M,-0.72%
09/23/2021,15643.97,15630.01,15695.65,15593.72,54.65M,0.88%
09/22/2021,15506.74,15463.24,15508.42,15378.93,54.14M,1.03%
09/21/2021,15348.53,15265.03,15394.33,15205.70,61.55M,1.43%
09/20/2021,15132.06,15259.50,15262.76,15019.49,96.69M,-2.31%
09/17/2021,15490.17,15774.57,15791.90,15455.54,158.39M,-1.03%
09/16/2021,15651.75,15666.63,15745.19,15638.23,54.36M,0.23%
09/15/2021,15616.00,15731.48,15740.01,15613.72,58.97M,-0.68%
09/14/2021,15722.99,15697.72,15763.58,15663.42,51.34M,0.14%
09/13/2021,15701.42,15681.17,15787.66,15674.16,50.52M,0.59%
09/10/2021,15609.81,15648.89,15702.60,15574.94,55.58M,-0.09%
09/09/2021,15623.15,15499.45,15693.22,15453.96,54.61M,0.08%
09/08/2021,15610.28,15714.61,15755.30,15590.41,62.58M,-1.47%
09/07/2021,15843.09,15896.56,15927.77,15826.86,45.06M,-0.56%
09/06/2021,15932.12,15818.44,15959.74,15814.63,31.92M,0.96%
09/03/2021,15781.20,15841.45,15868.69,15690.02,40.90M,-0.37%
09/02/2021,15840.59,15813.57,15874.67,15810.77,37.30M,0.10%
09/01/2021,15824.29,15958.41,15981.70,15773.44,53.32M,-0.07%
08/31/2021,15835.09,15929.26,16006.76,15761.57,75.10M,-0.33%
08/30/2021,15887.31,15856.71,15896.73,15847.66,27.22M,0.22%
08/27/2021,15851.75,15778.92,15859.77,15752.09,32.13M,0.37%
08/26/2021,15793.62,15773.71,15834.91,15701.85,39.68M,-0.42%
08/25/2021,15860.66,15912.85,15932.62,15853.32,35.54M,-0.28%
08/24/2021,15905.85,15897.86,15918.72,15856.05,42.75M,0.33%
08/23/2021,15852.79,15930.72,15930.72,15799.59,39.88M,0.28%
08/20/2021,15808.04,15734.68,15808.04,15656.28,49.98M,0.27%
