Date,Price,Open,High,Low,Vol.,Change %
11/30/2021,8305.10,8345.50,8414.00,8260.70,369.40M,-1.78%
11/29/2021,8455.20,8487.60,8562.00,8431.70,240.65M,0.62%
11/26/2021,8402.70,8592.30,8592.30,8386.90,453.06M,-4.96%
11/25/2021,8840.90,8814.60,8850.10,8795.10,118.56M,0.56%
11/24/2021,8792.00,8827.50,8865.60,8759.20,174.08M,-0.26%
11/23/2021,8815.10,8763.00,8873.40,8700.10,196.12M,-0.07%
11/22/2021,8821.30,8774.10,8846.30,8737.30,204.21M,0.78%
11/19/2021,8753.20,8942.00,8954.30,8713.20,278.70M,-1.68%
11/18/2021,8903.20,8984.70,9013.20,8885.80,181.60M,-1.00%
11/17/2021,8993.40,9042.90,9046.30,8993.40,139.17M,-0.52%
11/16/2021,9040.20,9086.10,9118.00,9037.50,155.28M,-0.61%
11/15/2021,9095.70,9036.10,9104.70,8992.40,144.11M,0.16%
11/12/2021,9080.80,9079.60,9093.60,9045.20,119.66M,-0.13%
11/11/2021,9092.20,9127.90,9164.10,9079.00,150.33M,-0.54%
11/10/2021,9141.80,9059.60,9150.70,9059.60,146.84M,0.74%
11/09/2021,9074.90,9051.00,9128.50,9043.30,132.15M,0.05%
11/08/2021,9070.80,9133.10,9156.60,9069.50,135.35M,-0.65%
11/05/2021,9130.60,9038.00,9164.10,9001.20,193.27M,1.01%
11/04/2021,9039.40,9054.30,9096.20,9011.30,221.41M,0.10%
11/03/2021,9030.80,9084.50,9084.80,8989.50,162.88M,-0.82%
11/02/2021,9105.70,9160.60,9162.30,9102.00,130.17M,-0.84%
11/01/2021,9182.60,9064.60,9198.10,9061.60,164.89M,1.38%
10/29/2021,9057.70,9002.60,9057.70,8944.50,228.79M,0.35%
10/28/2021,9025.80,8958.90,9030.20,8918.00,180.33M,0.60%
10/27/2021,8972.30,8995.10,8999.10,8925.60,167.91M,-0.33%
10/26/2021,9001.60,8925.50,9026.50,8915.70,137.32M,0.90%
10/25/2021,8920.90,8932.80,8963.70,8891.90,159.72M,0.16%
10/22/2021,8906.40,8952.20,8959.70,8906.40,134.36M,-0.42%
10/21/2021,8944.30,8964.60,8989.70,8928.30,153.31M,-0.82%
10/20/2021,9017.90,8966.60,9038.00,8958.90,160.13M,0.24%
10/19/2021,8996.30,8959.50,9020.00,8943.20,160.87M,0.67%
10/18/2021,8936.00,8984.40,8994.60,8885.40,139.68M,-0.68%
10/15/2021,8997.00,8969.50,9016.50,8944.10,217.37M,0.81%
10/14/2021,8925.00,8944.50,9001.20,8889.10,155.21M,0.49%
10/13/2021,8881.40,8915.70,8928.00,8861.40,191.88M,-0.61%
10/12/2021,8935.90,8807.70,8935.90,8759.80,163.37M,0.41%
10/11/2021,8899.00,8929.40,8965.70,8875.50,125.07M,-0.63%
10/08/2021,8955.00,8964.90,9000.80,8931.80,141.24M,-0.09%
10/07/2021,8962.80,8880.60,8974.30,8877.20,201.22M,2.14%
10/06/2021,8775.00,8884.90,8884.90,8723.80,183.95M,-1.71%
10/05/2021,8927.40,8803.20,8927.40,8784.80,169.71M,1.54%
10/04/2021,8791.70,8801.70,8882.10,8770.10,149.56M,-0.09%
10/01/2021,8799.50,8693.40,8807.70,8654.80,182.24M,0.04%
09/30/2021,8796.30,8943.70,8954.60,8785.00,195.05M,-0.94%
09/29/2021,8879.40,8820.50,8895.70,8784.00,178.66M,1.25%
09/28/2021,8769.40,9014.30,9034.70,8769.40,207.45M,-2.59%
09/27/2021,9002.90,8925.10,9011.90,8881.20,203.43M,1.46%
09/24/2021,8873.10,8848.50,8898.30,8835.50,140.56M,-0.04%
09/23/2021,8876.90,8882.00,8908.30,8853.90,151.03M,0.78%
09/22/2021,8808.40,8826.30,8841.00,8772.60,173.51M,0.60%
09/21/2021,8756.00,8710.00,8807.80,8710.00,194.81M,1.16%
09/20/2021,8655.40,8643.70,8690.30,8551.20,277.15M,-1.20%
09/17/2021,8760.90,8789.70,8858.30,8760.90,588.04M,0.31%
09/16/2021,8733.70,8659.60,8757.40,8659.60,186.04M,1.14%
09/15/2021,8635.40,8756.70,8772.60,8629.00,178.10M,-1.65%
09/14/2021,8780.00,8801.40,8848.10,8751.70,128.77M,-0.41%
09/13/2021,8816.10,8724.20,8837.60,8721.40,115.68M,1.39%
09/10/2021,8695.30,8826.10,8832.60,8668.40,139.70M,-1.20%
09/09/2021,8800.60,8783.40,8828.60,8725.20,149.89M,-0.43%
09/08/2021,8838.70,8856.50,8912.50,8748.20,155.62M,-0.63%
09/07/2021,8894.50,8889.90,8899.80,8848.50,114.24M,0.14%
