ID_CLIENT;BALANCE;NB_PRODUITS;CARTE_CREDIT;SALAIRE;SCORE_CREDIT;CHURN
15688172;0.0;2;Yes;88947.56;677.0;No
15787258;0.0;14;Yes;;;No
15791700;118079.47;4;Yes;143007.49;773.0;Yes
15569438;106702.94;2;No;198313.69;607.0;No
15778947;0.0;2;Yes;8742.91;628.0;No
15686780;133676.65;1;No;17095.49;645.0;No
15631222;75339.64;1;Yes;70665.16;485.0;No
15775235;110480.48;1;No;81292.33;690.0;No
15684248;0.0;2;No;154279.87;658.0;No
15640953;107508.93;2;Yes;;;No
15611551;131659.59;2;No;14152.15;676.0;No
15756118;0.0;1;Yes;110252.53;661.0;No
15649183;0.0;3;No;88658.73;598.0;No
15777122;0.0;2;Yes;89087.4;553.0;No
15711991;0.0;2;No;3183.15;615.0;No
15693131;95508.2;1;Yes;45755.0;581.0;No
15714391;183572.84;1;Yes;66006.75;563.0;Yes
15776545;200724.96;1;No;82872.64;682.0;Yes
15804602;99785.28;2;No;197238.03;772.0;No
15748068;0.0;2;Yes;194667.92;571.0;No
15812422;0.0;2;No;102515.42;637.0;No
15656086;105770.14;1;No;140929.98;542.0;Yes
15719212;83134.3;1;Yes;187946.55;491.0;No
15791321;0.0;1;Yes;176036.01;682.0;No
15613319;0.0;1;No;175544.02;793.0;No
15642821;95808.19;1;No;137702.01;383.0;Yes
15584190;120026.98;2;No;100601.73;704.0;No
15803749;87541.06;2;Yes;12577.21;498.0;Yes
15590820;79932.41;1;No;150242.44;699.0;No
15779711;97257.41;2;No;179883.04;750.0;No
15751167;0.0;2;Yes;58761.33;680.0;No
15759480;139180.97;1;Yes;19959.67;644.0;No
15736578;0.0;1;Yes;28184.7;539.0;No
15661198;146407.11;1;Yes;72073.72;727.0;No
15610653;0.0;2;Yes;1271.51;733.0;No
15722632;119655.77;1;Yes;12944.17;716.0;Yes
15579345;161371.5;1;Yes;134869.93;775.0;No
15602811;38848.19;2;No;94003.11;730.0;No
15697686;0.0;2;Yes;84151.98;787.0;No
15687946;117419.35;1;Yes;94153.83;556.0;No
15730657;82596.8;1;No;55672.09;548.0;No
15688210;101928.51;1;No;89205.54;670.0;No
15614782;0.0;1;Yes;160696.72;526.0;No
15596962;137295.19;2;Yes;91195.12;617.0;No
15623647;135515.76;1;Yes;86013.96;655.0;No
15713596;107735.93;1;No;58381.77;428.0;No
15674368;94435.45;2;No;189430.86;738.0;No
15619889;0.0;1;Yes;195167.38;556.0;No
15790267;141267.67;1;No;177397.49;625.0;No
15782364;146408.68;1;No;72993.67;521.0;No
15803908;0.0;2;Yes;96862.56;628.0;No
15768072;0.0;1;No;27557.18;688.0;Yes
15760521;94164.0;1;Yes;189414.74;796.0;No
15624428;40224.7;1;Yes;178341.33;651.0;No
15701741;152462.79;1;Yes;90305.97;711.0;No
15602043;141788.63;2;No;164967.21;770.0;No
15632439;0.0;2;No;47455.82;698.0;No
15577905;106486.66;2;No;182262.66;660.0;No
15677243;0.0;2;Yes;126933.73;538.0;No
15745533;110314.21;2;Yes;37464.0;799.0;Yes
15567114;118894.22;1;No;2923.61;430.0;No
15758073;134397.61;1;No;28029.54;655.0;No
15786035;0.0;2;Yes;19047.23;740.0;No
15599792;0.0;2;Yes;199638.56;545.0;No
15749727;0.0;2;No;178458.86;829.0;No
15722535;127837.54;1;No;60013.17;457.0;No
15687270;0.0;2;No;139861.53;491.0;No
15713250;0.0;14;Yes;;;No
15753888;108004.64;1;Yes;23386.77;607.0;Yes
15631267;153590.73;2;Yes;130910.78;641.0;No
15719991;154733.97;1;Yes;80259.67;727.0;Yes
15572547;104930.38;1;Yes;155921.81;670.0;Yes
15712877;0.0;2;Yes;52462.25;724.0;No
15650454;0.0;2;Yes;122449.18;641.0;No
15714431;100443.36;2;No;101693.73;561.0;No
15783398;115309.75;1;Yes;111421.77;535.0;No
15667002;0.0;2;Yes;29346.1;666.0;No
15656912;0.0;1;Yes;150390.57;649.0;No
15743016;141604.76;1;Yes;30379.6;602.0;No
15717138;82613.56;2;Yes;149170.92;850.0;No
15787756;114514.71;2;Yes;177784.68;;Yes
15680772;0.0;2;Yes;106977.8;721.0;No
15626233;0.0;2;Yes;151978.36;593.0;No
15665177;0.0;2;No;136491.72;613.0;No
15570134;187530.66;2;Yes;37976.36;683.0;No
15610711;128644.46;1;No;167673.37;678.0;No
15685476;100082.14;1;No;49809.88;658.0;No
15712568;121355.99;1;Yes;138360.29;515.0;No
15567893;124213.36;2;Yes;62627.55;556.0;No
15628319;130142.79;1;Yes;38190.78;792.0;No
15654025;101629.3;1;No;130541.1;646.0;No
15626985;104386.53;1;Yes;105886.77;850.0;No
15746461;0.0;2;Yes;104982.39;709.0;No
15717935;0.0;2;No;55601.44;589.0;No
15688984;95830.43;1;Yes;177738.98;595.0;No
15590011;129378.32;1;Yes;13549.34;749.0;No
15659175;0.0;2;Yes;18066.69;755.0;No
